extreme_timestamp,direction,extreme_price,atr_at_extreme,MFE_R,MAE_R,bars_to_0.5R,bars_to_1R,bars_to_2R,primary_hit,hit_1.5R_before_0.5R_60m,hit_2R_before_0.75R_90m,hit_2R_before_1R_90m,hit_2R_before_1R_120m,hit_2.5R_before_1R_120m,hit_3R_before_1R_120m,event_id,cluster_size
2018-01-30 12:00:00-06:00,Long,6896.75,15.072126427056343,2.897180227222588,0.3317381939567849,1,2,3,True,True,True,True,True,True,False,MR00035,1
2018-01-30 13:00:00-06:00,Short,6935.25,14.770017776008856,2.211687701535985,0.4062283533433442,1,2,2,True,True,True,True,True,False,False,MR00036,1
2018-01-31 09:30:00-06:00,Short,6968.0,8.911578775486365,4.114497283862647,0.8977084982973048,1,1,2,True,False,False,True,True,True,True,MR00037,1
2018-01-31 11:00:00-06:00,Long,6926.0,10.780709480335386,2.59723166189327,0.27827482091713607,1,1,5,True,False,True,True,True,True,False,MR00038,1
2018-01-31 13:00:00-06:00,Short,6960.25,10.511284720853437,5.137335866553866,1.0147823933933562,1,1,1,True,False,True,True,True,True,True,MR00039,1
2018-01-31 14:00:00-06:00,Long,6903.5,13.028433541032255,5.321693748904828,1.048987710120663,1,1,2,True,True,True,True,True,True,True,MR00040,1
2018-01-31 14:45:00-06:00,Short,6952.0,14.619613152204034,3.7848698701710415,1.8924349350855207,1,1,1,True,True,True,True,True,True,True,MR00041,1
2018-01-31 15:45:00-06:00,Long,6902.5,17.020604991032165,4.328087439046981,0.0,1,1,1,True,True,True,True,True,True,True,MR00042,1
2018-02-01 12:00:00-06:00,Short,6960.5,13.399339419937352,6.04507412354054,0.3482758754303192,2,2,3,True,True,True,True,True,True,True,MR00043,1
2018-02-01 14:30:00-06:00,Long,6865.75,16.128051579920957,5.828354375864459,0.22734715650535123,1,1,1,True,True,True,True,True,True,True,MR00044,1
2018-02-02 11:30:00-06:00,Short,6841.75,19.112031445719968,4.325373098168452,0.0,1,1,3,True,True,True,True,True,True,True,MR00045,1
2018-02-05 09:45:00-06:00,Short,6790.25,21.981561400020716,4.00335528484874,0.8188681264463332,2,2,3,True,False,False,True,True,True,True,MR00046,1
2018-02-06 11:30:00-06:00,Short,6575.75,50.8397781573641,2.2882344799626657,0.09179164103002097,1,2,6,True,False,True,True,True,False,False,MR00047,1
2018-02-06 13:15:00-06:00,Long,6465.0,46.39468083219765,5.072420568739279,0.273019803983134,1,1,2,True,True,True,True,True,True,True,MR00048,1
2018-02-07 10:15:00-06:00,Short,6698.75,22.837259822250214,6.728769907716779,0.2627285430344946,1,2,5,True,True,True,True,True,True,True,MR00049,1
2018-02-07 14:30:00-06:00,Short,6637.0,29.43935025677683,6.850241765109736,0.12454985027472247,1,1,1,True,True,True,True,True,True,True,MR00050,1
2018-02-08 11:45:00-06:00,Long,6368.5,33.81837404072604,2.9569724398805874,0.6308207871745253,1,1,3,True,False,True,True,True,True,False,MR00051,1
2018-02-08 12:45:00-06:00,Short,6474.5,36.32230271181738,6.552448006622862,0.31202133364870777,1,1,3,True,True,True,True,True,True,True,MR00052,1
2018-02-09 12:30:00-06:00,Long,6145.0,48.418206388045746,6.044558204430407,0.26849404324918663,1,1,1,True,True,True,True,True,True,True,MR00053,1
2018-02-12 12:15:00-06:00,Long,6478.5,24.070995681467743,2.991151714402607,0.24926264286688393,2,2,5,True,True,True,True,True,True,False,MR00054,1
2018-02-12 14:15:00-06:00,Short,6548.5,22.55562071411754,2.7635388147096727,0.41379190808487076,1,1,2,True,True,True,True,True,True,False,MR00055,1
2018-02-13 11:30:00-06:00,Long,6484.5,17.130682006355023,3.77490322000473,0.7199557687637888,2,3,3,True,False,True,True,True,True,True,MR00056,1
2018-02-14 11:15:00-06:00,Long,6576.75,24.422376966872715,2.9481159879590377,0.1228381661649599,1,1,3,True,True,True,True,True,True,False,MR00057,1
2018-02-15 10:00:00-06:00,Long,6650.75,20.78077484107493,4.314885626373904,0.44913307635118704,1,1,4,True,True,True,True,True,True,True,MR00058,1
2018-02-16 11:30:00-06:00,Short,6828.25,14.292349676797802,7.3699101767941935,0.27987000671370355,1,1,1,True,True,True,True,True,True,True,MR00059,1
2018-02-19 10:00:00-06:00,Long,6739.25,9.301015851015901,3.870544957308928,0.07167675846868385,1,1,2,True,True,True,True,True,True,True,MR00060,1
2018-02-20 11:45:00-06:00,Short,6824.75,13.63441673126591,5.256306014347022,0.31782315435586644,1,1,1,True,True,True,True,True,True,True,MR00061,1
2018-02-21 10:30:00-06:00,Short,6843.75,12.436213168780725,2.5999339907184438,0.6164791936755073,1,1,2,True,False,True,True,True,True,False,MR00062,1
2018-02-21 11:30:00-06:00,Long,6809.0,12.96106919808273,5.683687475224947,0.15430825724592617,1,1,6,True,True,True,True,True,True,True,MR00063,1
2018-02-21 13:15:00-06:00,Short,6866.5,14.487090170762851,11.849630577513494,0.575224785316189,1,2,2,True,False,True,True,True,True,True,MR00064,1
2018-02-22 10:45:00-06:00,Short,6812.5,15.300585472446768,6.0999844418638505,0.609998444186385,1,2,3,True,False,True,True,True,True,True,MR00065,1
2018-02-22 13:30:00-06:00,Short,6780.75,18.35643795387234,2.7238400023819636,0.9079466674606546,1,1,2,True,True,True,True,True,True,False,MR00066,1
2018-02-22 14:45:00-06:00,Long,6728.0,19.56132241626838,2.027811096946977,0.22152558201941763,1,1,3,True,True,True,True,True,False,False,MR00067,1
2018-02-23 12:00:00-06:00,Long,6809.5,11.533010099406766,6.56087751718511,0.3468305295428252,1,1,4,True,True,True,True,True,True,True,MR00068,1
2018-02-27 11:15:00-06:00,Long,6893.25,17.902460818909443,2.6998150601888953,0.11171648524919567,1,1,2,True,True,True,True,True,True,False,MR00069,1
2018-02-27 12:15:00-06:00,Short,6943.75,17.449075475033126,3.4576808049034353,0.38206417733739617,1,2,3,True,True,True,True,True,True,True,MR00070,1
2018-02-28 09:30:00-06:00,Short,6941.0,11.086891353653588,6.223565993299073,0.24052428959609942,1,1,1,True,True,True,True,True,True,True,MR00071,1
2018-02-28 10:45:00-06:00,Long,6874.0,15.884464344045822,3.7143210323057403,0.8603794481612167,1,4,4,True,False,False,True,True,True,True,MR00072,1
2018-02-28 13:00:00-06:00,Short,6951.5,15.81114600228548,8.580444873955136,0.44272565688712,2,2,2,True,True,True,True,True,True,True,MR00073,1
2018-03-01 13:00:00-06:00,Long,6670.0,28.284555375795488,4.596147907322154,0.09427995707327495,1,1,1,True,True,True,True,True,True,True,MR00074,1
2018-03-02 11:45:00-06:00,Short,6763.5,24.026126217148022,3.121601848011216,0.6520679415845652,1,1,1,True,True,True,True,True,True,True,MR00075,1
2018-03-02 12:30:00-06:00,Long,6700.75,24.752787645435205,3.837951561690849,0.05386598683074876,1,1,2,True,True,True,True,True,True,True,MR00076,1
2018-03-05 09:30:00-06:00,Long,6754.25,17.62232175160833,5.844859800644574,0.7944469631944081,1,1,2,True,False,False,True,True,True,True,MR00077,1
2018-03-05 12:00:00-06:00,Short,6877.25,17.305338963564413,2.8122342341361857,1.2134983339080803,1,2,4,True,True,True,True,True,True,False,MR00078,1
2018-03-05 13:15:00-06:00,Long,6833.25,17.421473325472128,2.774353949884631,0.0,1,1,2,True,True,True,True,True,True,False,MR00079,1
2018-03-06 09:30:00-06:00,Short,6920.25,12.86442735532196,6.296432617071807,0.07773373601323219,1,1,1,True,True,True,True,True,True,True,MR00080,1
2018-03-06 10:30:00-06:00,Long,6852.75,16.38606725570987,3.29548262907216,0.020342485364642962,1,1,4,True,True,True,True,True,True,True,MR00081,1
2018-03-06 12:00:00-06:00,Short,6908.25,15.986346157912747,2.335326219297115,0.5212781739502489,1,3,3,True,False,True,True,True,False,False,MR00082,1
2018-03-06 15:00:00-06:00,Short,6899.5,14.606002245833462,9.585100539056585,0.5933633667035029,3,3,3,True,False,True,True,True,True,True,MR00083,1
2018-03-07 11:00:00-06:00,Long,6831.25,17.694368887252953,4.069091158818831,0.4144444698796958,1,1,3,True,True,True,True,True,True,True,MR00084,1
2018-03-08 10:15:00-06:00,Short,6954.75,10.80150266246691,4.320386535553439,0.09257971147614512,1,1,3,True,True,True,True,True,True,True,MR00085,1
2018-03-08 12:15:00-06:00,Long,6912.0,13.483205818499815,3.362207322470233,0.6674970419610021,2,4,6,True,False,True,True,True,True,True,MR00086,2
2018-03-12 12:30:00-05:00,Short,7139.75,10.22502994001753,3.585971569937897,0.9453925048018093,1,1,2,True,False,False,True,True,True,True,MR00087,1
2018-03-12 13:30:00-05:00,Long,7103.0,11.489440080092688,3.4814577317224074,0.31913362540788737,1,1,3,True,True,True,True,True,True,True,MR00088,1
2018-03-13 09:30:00-05:00,Short,7151.5,10.111814106828417,13.383684856503045,0.1977884461552174,1,1,1,True,True,True,True,True,True,True,MR00089,1
2018-03-13 11:00:00-05:00,Long,7035.5,16.583569238153107,3.35673616862869,0.04020043315722982,1,1,2,True,True,True,True,True,True,True,MR00090,1
2018-03-13 12:15:00-05:00,Short,7089.25,16.45081229759472,5.653216286079537,0.5673478710043981,2,2,3,True,False,True,True,True,True,True,MR00091,1
2018-03-14 09:45:00-05:00,Short,7055.75,12.907620540150726,5.862170059252693,0.387368065589385,1,1,1,True,True,True,True,True,True,True,MR00092,1
2018-03-14 11:00:00-05:00,Long,6991.25,16.47288035345054,4.957643406276554,0.040470558418584116,1,1,2,True,True,True,True,True,True,True,MR00093,1
2018-03-14 12:45:00-05:00,Short,7062.75,17.70538378458093,3.2758397505345465,0.33887997419322896,1,3,3,True,True,True,True,True,True,True,MR00094,1
2018-03-15 10:15:00-05:00,Short,7054.75,11.716809231086776,4.5803141118214565,0.08534746792213894,1,2,2,True,True,True,True,True,True,True,MR00095,1
2018-03-15 13:00:00-05:00,Long,6987.25,12.784946731459462,2.998317798149903,0.6518082169891094,1,3,6,True,False,True,True,True,True,False,MR00096,1
2018-03-16 10:45:00-05:00,Long,6987.75,11.875735567672,2.3858171287058654,0.1964790576581301,1,1,4,True,True,True,True,True,False,False,MR00097,1
2018-03-19 13:00:00-05:00,Short,6820.5,20.144275276855346,2.465547456240876,3.805878623727527,1,1,2,True,True,True,True,True,False,False,MR00098,1
2018-03-19 13:30:00-05:00,Long,6776.0,20.623125111166086,4.71962095020379,0.7111757596197493,1,3,5,True,False,True,True,True,True,True,MR00099,1
2018-03-19 15:45:00-05:00,Short,6872.75,19.632072289337202,2.309146618105889,0.0,1,2,6,True,False,True,True,True,False,False,MR00100,1
2018-03-20 10:45:00-05:00,Long,6817.75,15.357473258182024,3.1038091921319952,0.49921406586738387,1,1,2,True,True,True,True,True,True,True,MR00101,1
2018-03-20 11:30:00-05:00,Short,6868.25,15.941005374717898,2.1955955209393045,0.4600295377206162,1,2,4,True,True,True,True,True,False,False,MR00102,1
2018-03-20 12:45:00-05:00,Long,6829.25,14.578565122782049,3.841255948604182,0.5030216123172143,1,1,2,True,False,True,True,True,True,True,MR00103,2
2018-03-20 14:00:00-05:00,Short,6876.75,14.032742923583024,2.04284129074226,0.14252381098201816,1,2,3,True,True,True,True,True,False,False,MR00104,1
2018-03-21 13:15:00-05:00,Short,6905.75,15.797858794174667,5.528175335099006,0.16879924687325212,1,1,1,True,True,True,True,True,True,True,MR00105,2
2018-03-21 13:45:00-05:00,Long,6797.0,19.21601089905877,2.567303567451128,0.22550639443827475,1,1,1,True,True,True,True,True,True,False,MR00106,1
2018-03-22 10:30:00-05:00,Long,6669.75,21.96246674269873,4.871948185673242,0.3794352169527447,1,1,3,True,True,True,True,True,True,True,MR00107,1
2018-03-22 12:45:00-05:00,Short,6762.5,24.154782228142412,5.630355045865337,0.2069983472744609,1,1,2,True,True,True,True,True,True,True,MR00108,1
2018-03-23 10:00:00-05:00,Short,6672.5,23.760734757273323,3.8438766421301676,0.32266117798902866,1,2,2,True,True,True,True,True,True,True,MR00109,1
2018-03-23 10:45:00-05:00,Long,6577.5,24.8665576755574,3.7935823109950744,0.3351221122787168,1,1,5,True,True,True,True,True,True,True,MR00110,1
2018-03-23 13:00:00-05:00,Short,6651.75,29.59912879839916,5.923597769634898,0.0,1,2,3,True,True,True,True,True,True,True,MR00111,1
2018-03-27 10:45:00-05:00,Short,6757.75,19.45428228871243,7.67611629754021,0.39408632777550184,1,1,2,True,True,True,True,True,True,True,MR00112,1
2018-03-28 12:45:00-05:00,Short,6501.0,42.16978473901556,2.3160342712469504,0.4979868910872282,1,1,5,True,False,True,True,True,False,False,MR00113,1
2018-03-29 11:00:00-05:00,Long,6473.5,24.65636054322817,4.83986000789188,0.24334491659791577,1,1,6,True,True,True,True,True,True,True,MR00114,1
2018-03-29 14:00:00-05:00,Short,6608.5,25.59734429557717,4.54474229787322,0.2864880531610626,1,1,1,True,True,True,True,True,True,True,MR00115,1
2018-04-02 10:30:00-05:00,Long,6321.0,24.016395028995834,2.928554982894703,1.6100112702169933,1,1,4,True,False,False,True,True,True,False,MR00116,1
2018-04-02 13:30:00-05:00,Long,6281.25,29.084969752502396,3.804943502034936,0.2292134639780082,1,1,2,True,True,True,True,True,True,True,MR00117,1
2018-04-03 10:00:00-05:00,Short,6437.5,23.533473838793434,4.3342517428030325,0.7790321759940091,1,2,2,True,False,False,True,True,True,True,MR00118,1
2018-04-03 11:15:00-05:00,Long,6332.0,26.948916563833393,2.4738162110804933,0.16079805372023206,1,1,4,True,True,True,True,True,False,False,MR00119,1
2018-04-03 12:15:00-05:00,Short,6391.0,28.626217096513056,2.53846557586256,3.3186361886276585,1,4,5,True,True,True,True,True,True,False,MR00120,1
2018-04-03 13:45:00-05:00,Long,6325.75,31.430930414225134,2.0998423886977733,0.3393684668602462,1,1,1,True,True,True,True,True,False,False,MR00121,1
2018-04-04 09:30:00-05:00,Long,6317.5,24.555648680328353,6.719431530724833,0.1493207006827741,1,1,1,True,True,True,True,True,True,True,MR00122,1
2018-04-04 11:45:00-05:00,Short,6461.25,28.29453940520395,2.026303821817596,2.650688139005576,1,1,2,True,True,True,True,True,False,False,MR00123,1
2018-04-04 12:15:00-05:00,Long,6390.25,28.594526323874838,5.094215061189635,0.3613745237914844,1,3,3,True,True,True,True,True,True,True,MR00124,1
2018-04-05 10:30:00-05:00,Short,6598.0,18.232253980958777,5.503067993574381,0.383934976295887,1,2,3,True,True,True,True,True,True,True,MR00125,1
2018-04-05 12:30:00-05:00,Long,6513.75,21.392639472922493,4.347289642202112,0.04674504991615174,1,1,2,True,True,True,True,True,True,True,MR00126,1
2018-04-05 14:00:00-05:00,Short,6587.75,21.086275301912043,2.2289379858252243,0.37939369971493175,1,2,2,True,True,True,True,True,False,False,MR00127,1
2018-04-06 10:45:00-05:00,Short,6517.25,25.02192052460619,4.809116598983651,0.13321652628763575,1,1,2,True,True,True,True,True,True,True,MR00128,1
2018-04-10 10:30:00-05:00,Short,6571.5,18.23793533814752,3.765046064344767,1.0783384359045693,1,1,3,True,True,True,True,True,True,True,MR00129,1
2018-04-10 11:15:00-05:00,Long,6496.75,20.459090356381232,4.333851853731677,0.30956084669511974,1,1,3,True,True,True,True,True,True,True,MR00130,1
2018-04-11 09:30:00-05:00,Short,6598.5,15.802988039712067,4.007680900231022,1.6874445895709567,1,1,1,True,True,True,True,True,True,True,MR00131,1
2018-04-11 10:00:00-05:00,Long,6550.5,17.416862136282344,3.6937384489778933,0.9186499769478698,1,2,3,True,False,False,True,True,True,True,MR00132,1
2018-04-11 11:00:00-05:00,Short,6618.0,18.815988116263014,3.047054078641719,0.1948697375875518,1,2,3,True,True,True,True,True,True,True,MR00133,1
2018-04-12 10:15:00-05:00,Short,6640.25,12.611861057327271,3.7266506335870093,1.1364962925123503,1,2,2,True,False,True,True,True,False,False,MR00134,1
2018-04-12 12:00:00-05:00,Short,6642.75,13.240191049975325,3.499445979174121,0.805627851320661,1,1,1,True,True,True,True,True,True,True,MR00135,1
2018-04-12 14:30:00-05:00,Short,6648.5,14.881629304056954,3.2030542955180334,0.022398981087538697,1,1,5,True,True,True,True,True,True,True,MR00136,1
2018-04-13 12:15:00-05:00,Short,6630.25,15.716418092777927,5.514403228207074,0.3393478909665892,1,4,6,True,True,True,True,True,True,True,MR00137,1
2018-04-13 14:15:00-05:00,Long,6561.0,17.055862023284433,6.527570003869788,0.4299597008536986,1,1,2,True,True,True,True,True,True,True,MR00138,1
2018-04-16 09:30:00-05:00,Short,6639.25,12.858290917905487,3.7070763891560157,1.1406388889710817,1,1,1,True,True,True,True,True,True,True,MR00139,1
2018-04-16 14:15:00-05:00,Long,6627.75,13.281672855215806,4.141044625895985,0.1254862007847268,1,1,3,True,True,True,True,True,True,True,MR00140,1
2018-04-17 14:30:00-05:00,Short,6799.5,11.054668926722233,2.6534791342711714,0.542757095646376,1,1,5,True,False,True,True,True,True,False,MR00141,1
2018-04-18 09:30:00-05:00,Long,6773.25,10.842289515052903,2.8591747118504007,0.7685953526479571,1,2,2,True,False,False,True,True,True,False,MR00142,1
2018-04-19 13:15:00-05:00,Long,6710.0,14.363525858385373,3.6434879464349157,0.11603464797563426,1,1,3,True,True,True,True,True,True,True,MR00143,1
2018-04-20 11:45:00-05:00,Long,6615.0,16.387593678401984,2.5629144110006745,0.40681181126994836,1,1,3,True,True,True,True,True,True,False,MR00144,1
2018-04-20 12:45:00-05:00,Short,6653.0,16.20411581239169,3.3941993896353253,0.4114181078345849,2,3,5,True,True,True,True,True,True,True,MR00145,1
2018-04-20 14:00:00-05:00,Long,6600.75,16.137988491272885,5.184454475965948,0.8055526875006851,2,2,4,True,False,False,True,True,True,True,MR00146,1
2018-04-23 10:15:00-05:00,Short,6682.75,12.986060803564925,5.980771832313127,0.12834274318268513,1,1,2,True,True,True,True,True,True,True,MR00147,1
2018-04-23 13:45:00-05:00,Long,6571.5,16.57676647955842,5.3890686970522514,0.38206084046265965,1,1,3,True,True,True,True,True,True,True,MR00148,1
2018-04-25 10:00:00-05:00,Short,6499.75,23.524955148495206,2.9613942397302706,0.36840311116261737,1,2,2,True,True,True,True,True,True,False,MR00149,1
2018-04-25 14:45:00-05:00,Long,6450.25,24.014250800264147,4.538971500988948,0.09716452754410593,1,1,2,True,True,True,True,True,True,True,MR00150,1
2018-04-26 10:45:00-05:00,Long,6571.75,15.786560442007664,3.3361710969364746,0.06334502082790774,1,2,5,True,True,True,True,True,True,True,MR00151,1
2018-04-27 09:45:00-05:00,Long,6577.75,18.2594751089145,3.0303901400932887,0.2555750720560605,1,1,2,True,True,True,True,True,True,True,MR00152,1
2018-04-27 11:30:00-05:00,Long,6590.25,19.60666345730048,2.210132969727611,0.25501534266087816,1,1,2,True,True,True,True,True,False,False,MR00153,1
2018-04-27 14:15:00-05:00,Long,6601.5,17.53868797406204,3.116918822406396,0.03801120515129751,1,1,6,True,True,True,True,True,True,True,MR00154,1
2018-04-30 09:30:00-05:00,Short,6663.0,11.468438598280402,11.713306234510032,0.4359791402423089,1,1,3,True,True,True,True,True,True,True,MR00155,1
2018-04-30 12:45:00-05:00,Short,6592.25,16.341128626697017,2.610998765223645,0.3467732735062653,1,1,1,True,True,True,True,True,True,False,MR00156,1
2018-05-01 12:00:00-05:00,Long,6545.25,15.908836531754309,4.75626652619346,0.4819124674116721,2,2,3,True,True,True,True,True,True,True,MR00157,1
2018-05-02 10:45:00-05:00,Long,6603.75,15.462183790142694,2.3282610327624216,0.6036232307161834,1,2,5,True,False,True,True,True,False,False,MR00158,1
2018-05-02 13:00:00-05:00,Short,6673.5,14.502649288494483,7.217072176578303,0.2987959818328597,1,1,3,True,True,True,True,True,True,True,MR00159,1
2018-05-03 09:45:00-05:00,Long,6492.75,18.063933043772582,7.196660864773112,0.70121310990097,1,1,4,True,False,True,True,True,True,True,MR00160,1
