slice,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
full,13047,0.38821184946731047,-0.09141992566827797,-1192.7557701940227,0.8370354202912128,1207.236803953996,-0.988004810893319
exclude_top_1pct,12916,0.3820068132548777,-0.11251699280604086,-1453.2694790828236,0.8014417906996874,1457.40057559614,-0.9971654351024072
